Precinct,Borough,Year,Address,Latitude,Longitude,RadioRuns,RapeComplaints,FelonyAssaultComplaints,MurderComplaints,TotalComplaints
1,Manhattan,2020,"16 Ericsson Pl, New York, NY 10013",40.72047806,-74.00708771,437,5,19,1,25
5,Manhattan,2021,"19 Elizabeth St, New York, NY 10013",40.716179,-73.99749,628,6,24,1,31
7,Manhattan,2021,"19 1/2 Pitt St, New York, NY 10002",40.7162871,-73.9837703,1401,1,68,3,72
7,Manhattan,2020,"19 1/2 Pitt St, New York, NY 10002",40.7162871,-73.9837703,1263,5,45,1,51
13,Manhattan,2020,"230 E 21st St, New York, NY 10010",40.7368819,-73.9827578,613,3,34,1,38
14,Manhattan,2021,"357 W 35th St, New York, NY 10001",40.753979,-73.994843,818,4,60,1,65
18,Manhattan,2021,"306 W 54th St, New York, NY 10019",40.764912,-73.985107,777,3,32,2,37
23,Manhattan,2021,"162 E 102nd St, New York, NY 10029",40.7892569,-73.9477058,3221,10,179,1,190
23,Manhattan,2020,"162 E 102nd St, New York, NY 10029",40.7892569,-73.9477058,3221,6,127,1,134
24,Manhattan,2021,"151 W 100th St, New York, NY 10025",40.7964779,-73.967428,1313,8,67,1,76
24,Manhattan,2020,"151 W 100th St, New York, NY 10025",40.7964779,-73.967428,1319,1,58,3,62
25,Manhattan,2021,"120 E 119th St, New York, NY 10035",40.79937363,-73.93737793,2105,2,103,2,107
25,Manhattan,2020,"120 E 119th St, New York, NY 10035",40.79937363,-73.93737793,2008,2,52,2,56
26,Queens,2020,"68-40 Austin St, Forest Hills, NY 11375",40.721988,-73.850321,957,3,34,1,38
32,Manhattan,2021,"250 W 135th St, New York, NY 10030",40.8162117,-73.94584656,3739,8,221,2,231
32,Manhattan,2020,"250 W 135th St, New York, NY 10030",40.8162117,-73.94584656,3372,7,155,1,163
33,Manhattan,2021,"Parking, Parking lot, 2207 Amsterdam Ave, New York, NY 10032",40.84071,-73.93564,1259,2,100,2,104
34,Manhattan,2021,"4295 Broadway, New York, NY 10033",40.8515271,-73.9353732,1719,2,93,3,98
34,Manhattan,2020,"4295 Broadway, New York, NY 10033",40.8515271,-73.9353732,1346,7,77,1,85
40,Bronx,2021,"257 Alexander Ave, Bronx, NY 10454",40.816339,-73.895674,5959,13,252,3,268
41,Bronx,2021,"1035 Longwood Ave, Bronx, NY 10459",40.8163385,-73.8956745,3213,9,118,1,128
